# chopper 1a 60Hz total delay 1000 chopper 2a 60Hz total delay 5000
# Run: 176517
# Columns: tof_us intensity
8.333349 25049
25.000048 14393
41.666748 14298
58.333443 14340
75.000145 14132
91.666840 14147
108.333542 14290
125.000237 14311
141.666931 14121
158.333649 14016
175.000336 14416
191.667023 14094
208.333740 14324
225.000427 14184
241.667114 14368
258.333832 14250
275.000519 14155
291.667236 14095
308.333923 14197
325.000610 14298
341.667328 14079
358.334015 14199
375.000732 14104
391.667419 14110
408.334106 13873
425.000793 13984
441.667511 14197
458.334198 14021
475.000916 14005
491.667603 14157
508.334290 14063
525.000977 14169
541.667725 14080
558.334351 13736
575.001099 13829
591.667847 13895
608.334473 13982
625.001221 13996
641.667847 14055
658.334595 13968
675.001343 13856
691.667969 13638
708.334717 13788
725.001343 13878
741.668091 13818
758.334778 13806
775.001465 13803
791.668213 13916
808.334839 13739
825.001587 13843
841.668274 13744
858.334961 13717
875.001709 13929
891.668335 13819
908.335083 13672
925.001709 13727
941.668457 13795
958.335205 13589
975.001831 13765
991.668579 13603
1008.335205 13561
1025.001953 13538
1041.668701 13460
1058.335327 13644
1075.002075 13603
1091.668701 13560
1108.335449 13669
1125.002197 13594
1141.668823 13641
1158.335571 13463
1175.002197 13736
1191.668945 13488
1208.335693 13658
1225.002319 13796
1241.669067 13761
1258.335693 13679
1275.002441 13699
1291.669189 13641
1308.335815 13784
1325.002563 13849
1341.669189 13823
1358.335938 13605
1375.002686 14112
1391.669312 13868
1408.335938 13912
1425.002686 13872
1441.669434 14024
1458.336182 14012
1475.002808 14060
1491.669434 14106
1508.336182 14026
1525.002930 14130
1541.669678 14052
1558.336304 13975
1575.002930 14103
1591.669678 14284
1608.336426 14040
1625.003174 13741
1641.669800 14122
1658.336426 14070
1675.003174 14036
1691.669922 14147
1708.336670 14016
1725.003296 14010
1741.669922 14012
1758.336670 13686
1775.003418 13957
1791.670166 13715
1808.336792 13944
1825.003418 13779
1841.670166 13826
1858.336914 13780
1875.003540 13749
1891.670288 13630
1908.336914 13590
1925.003662 13519
1941.670410 13618
1958.337036 13481
1975.003784 13503
1991.670410 13502
2008.337158 13317
2025.003906 13375
2041.670532 13255
2058.337402 13198
2075.003906 13243
2091.670654 13055
2108.337402 12837
2125.003906 12704
2141.670898 12848
2158.337402 12494
2175.004150 12490
2191.670898 12603
2208.337402 12217
2225.004395 12018
2241.670898 11707
2258.337646 11262
2275.004395 11003
2291.670898 10637
2308.337891 10073
2325.004395 9511
2341.671143 9252
2358.337891 8652
2375.004395 8219
2391.671387 7844
2408.337891 7294
2425.004639 6982
2441.671387 6513
2458.337891 5976
2475.004883 5644
2491.671387 5116
2508.338135 4648
2525.004883 4192
2541.671387 3720
2558.338379 3317
2575.004883 2866
2591.671631 2359
2608.338379 1930
2625.004883 1575
2641.671875 1135
2658.338379 776
2675.005127 498
2691.671875 313
2708.338379 208
2725.005371 156
2741.671875 159
2758.338379 134
2775.005371 155
2791.671875 145
2808.338867 145
2825.005371 151
2841.671875 158
2858.338867 139
2875.005371 164
2891.672363 157
2908.338867 154
2925.005371 141
2941.672363 156
2958.338867 167
2975.005859 163
2991.672363 144
3008.338867 156
3025.005859 174
3041.672363 162
3058.339355 150
3075.005859 167
3091.672363 164
3108.339355 155
3125.005859 156
3141.672852 136
3158.339355 162
3175.005859 165
3191.672852 130
3208.339355 138
3225.006348 152
3241.672852 131
3258.339355 153
3275.006348 139
3291.672852 168
3308.339844 138
3325.006348 148
3341.672852 146
3358.339844 163
3375.006348 183
3391.673340 237
3408.339844 291
3425.006348 371
3441.673340 455
3458.339844 541
3475.006836 626
3491.673340 678
3508.339844 796
3525.006836 842
3541.673340 983
3558.340332 1039
3575.006836 1150
