# chopper 1a 60hz total delay 1000 chopper 3a 60hz total delay 0
# Run: 176505
# Columns: tof_us intensity
16.658366 145
33.308398 70
49.958431 77
66.608463 35
83.258496 43
99.908528 42
116.558561 45
133.208594 31
149.858626 34
166.508659 24
183.158691 30
199.808724 22
216.458756 18
233.108789 35
249.758821 25
266.408854 19
283.058886 22
299.708919 17
316.358951 12
333.008984 13
349.659016 21
366.309049 14
382.959081 27
399.609114 12
416.259146 11
432.909179 24
449.559211 17
466.209244 15
482.859276 9
499.509309 21
516.159341 10
532.809374 7
549.459406 8
566.109439 9
582.759472 16
599.409504 5
616.059537 16
632.709569 10
649.359602 9
666.009634 10
682.659667 8
699.309699 5
715.959732 15
732.609764 8
749.259797 15
765.909829 14
782.559862 10
799.209894 9
815.859927 6
832.509959 9
849.159992 7
865.810024 7
882.460057 2
899.110089 9
915.760122 9
932.410154 9
949.060187 3
965.710219 10
982.360252 5
999.010285 6
1015.660317 5
1032.310350 10
1048.960382 3
1065.610415 7
1082.260447 3
1098.910480 4
1115.560512 9
1132.210545 7
1148.860577 5
1165.510610 5
1182.160642 9
1198.810675 3
1215.460707 5
1232.110740 8
1248.760772 2
1265.410805 6
1282.060837 12
1298.710870 9
1315.360902 5
1332.010935 12
1348.660967 4
1365.311000 7
1381.961032 4
1398.611065 8
1415.261098 6
1431.911130 3
1448.561163 9
1465.211195 7
1481.861228 3
1498.511260 4
1515.161293 10
1531.811325 7
1548.461358 3
1565.111390 10
1581.761423 8
1598.411455 4
1615.061488 9
1631.711520 6
1648.361553 7
1665.011585 15
1681.661618 10
1698.311650 9
1714.961683 4
1731.611715 10
1748.261748 10
1764.911780 8
1781.561813 11
1798.211845 6
1814.861878 10
1831.511910 9
1848.161943 13
1864.811976 13
1881.462008 7
1898.112041 16
1914.762073 20
1931.412106 18
1948.062138 17
1964.712171 11
1981.362203 17
1998.012236 19
2014.662268 20
2031.312301 18
2047.962333 16
2064.612366 19
2081.262398 28
2097.912431 24
2114.562463 20
2131.212496 16
2147.862528 19
2164.512561 18
2181.162593 18
2197.812626 14
2214.462658 20
2231.112691 15
2247.762723 17
2264.412756 15
2281.062789 13
2297.712821 18
2314.362854 13
2331.012886 8
2347.662919 9
2364.312951 5
2380.962984 7
2397.613016 6
2414.263049 2
2430.913081 3
2447.563114 3
2464.213146 4
2480.863179 8
2497.513211 4
2514.163244 11
2530.813276 2
2547.463309 4
2564.113341 7
2580.763374 4
2597.413406 4
2614.063439 4
2630.713471 5
2647.363504 6
2664.013536 5
2680.663569 8
2697.313602 4
2713.963634 7
2730.613667 3
2747.263699 11
2763.913732 7
2780.563764 8
2797.213797 8
2813.863829 8
2830.513862 10
2847.163894 8
2863.813927 8
2880.463959 12
2897.113992 14
2913.764024 9
2930.414057 10
2947.064089 9
2963.714122 6
2980.364154 32
2997.014187 8
3013.664219 13
3030.314252 7
3046.964284 16
3063.614317 14
3080.264349 13
3096.914382 12
3113.564415 17
3130.214447 8
3146.864480 14
3163.514512 14
3180.164545 17
3196.814577 15
3213.464610 9
3230.114642 15
3246.764675 21
3263.414707 15
3280.064740 22
3296.714772 11
3313.364805 13
3330.014837 18
3346.664870 16
3363.314902 22
3379.964935 24
3396.614967 27
3413.265000 27
3429.915032 30
3446.565065 22
3463.215097 33
3479.865130 30
3496.515162 22
3513.165195 27
3529.815227 27
3546.465260 28
3563.115293 25
3579.765325 33
3596.415358 32
3613.065390 40
3629.715423 39
3646.365455 37
3663.015488 36
3679.665520 40
3696.315553 38
3712.965585 48
3729.615618 39
3746.265650 44
3762.915683 47
3779.565715 46
3796.215748 58
3812.865780 45
3829.515813 53
3846.165845 59
3862.815878 53
3879.465910 61
3896.115943 66
3912.765975 66
3929.416008 70
3946.066040 68
3962.716073 62
3979.366106 63
3996.016138 71
4012.666171 51
4029.316203 64
4045.966236 74
4062.616268 87
4079.266301 82
4095.916333 79
4112.566366 74
